org_name,org_alt_name,ein_num,bio,city,state,assets,income,mission_statement,facebook_link,twitter_link,youtube_link,instagram_link,linkedin_link,twitter_handle
"Friends of Harbors, Beaches and Parks, Inc.",,33-0776377,"[' Green Vision, FHBP, Coalition, Land Use Planning, <em>Climate Change,</em> Arts and culture, Historical activities, Historic preservation, Environment, Natural resources, Land resources, Non-governmental organizations, Public charities', 'CEQA has a set list of required topics to analyze, such as: circulation, population and housing, public safety, air quality, water, and biology. Conservation groups try to sway votes and make policy <em>changes</em> to reduce impacts, but litigation is usually the last tool left to alter or stop a bad project. Having been involved in the policy arena for 20 years, FHBP is keenly aware of the pitfalls and problems']",Newport Beach,CA,336196.0,128172.0,"FHBP's mission is “to promote, protect, and enhance the harbors, beaches, parks, trails, open spaces, natural preserves, and historic sites in Orange County.”",,https://twitter.com/fhbp_oc,,,,fhbp
LA MESA PARK AND RECREATION FOUNDATION,LMPRF,33-0856480,"[' health, fitness, education, parks, recreation, at-risk, capital, nonprofit, fundraising, movies, concerts, renovations, playgrounds, <em>climate</em> action, earth day, art,, Arts and culture, Philanthropy, Community and economic development, Sports and recreation, Human services, Youth development, Age groups, Children and youth, Adults, Ethnic']",La Mesa,CA,689463.0,488049.0,The mission of the La Mesa Park & Recreation Foundation is to fundraise and facilitate diverse projects and programs to strengthen community and family bonds to improve the quality of life in La Mesa and its parks.,https://facebook.com/lamesaparksca,https://twitter.com/lamesacaparks,,https://instagram.com/lamesaparks,,lamesacaparks
Bayfield Foundation Inc.,"HopebLit, MusIQ Club",33-0864489,"['the effects of global <em>climate change.</em>', ' ""Bayfield Foundation"" ""<em>Climate Change</em>"" ""Off-Grid"" ""Off Grid"" ""Sustainable"" ""Green"", Arts and culture, Arts services, Arts education, Human services, Youth development, Youth organizing, Special population support, Senior services, Age groups, Adults, Non-governmental organizations, Public charities']",San Diego,CA,18670.0,42497.0,"To provide the resources and personnel for the establishment of educational programs in sustainable and off-grid housing, green solutions and the effects of global climate change.",,,,,,
Care Afrique Organization (CAO),CARE AFRIQUE ORGANIZATION,33-1200138,"[' Empowerment; Democracy; <em>Climate Change</em>; Environmental; Human Rights; Equality, Education, Environment, Philanthropy, Health, Information and communications, Public safety, Public affairs, Community and economic development, Sports and recreation, Human rights, Human', ' | Women | Girls | Advocates | Society | Virtual*Sustainability *Trees Plant Drives | 1/4ly *Climate Community Outreach Programs | W.A.S.H. | Government Engagement | Events*Mass Environmental | <em>Climate Change</em> Awareness; Advocacy; Education; Enlighten; Inform; Empower*Communal Participation - Engage - Involvement - Inclusion*Mitigate - Intervene - Build Natural Resilience*Flora Fauna Habitat Creation']",Bronx,NY,0.0,0.0,"""For the Environmental, Economic, Educational, Health Development & Empowerment of Africa""""
""Sustainable Development; Sustainable Growth""",,https://twitter.com/CareAfriqueOrg,https://youtube.com/CareAfriqueTV,,https://linkedin.com/company/careafriqueorg,careafriqueorg
Bishop Climate Ministries Inc,,33-1220476,[],Newark,NJ,4239.0,13361.0,This organization has not provided GuideStar with a mission statement.,,,,,,
Advocacy Initiative for Development (AID),,33-1221581,"['and promote Water Sanitation and Hygiene (WaSH). The program seeks to address issues relating to <em>Climate Change</em> especially in Sierra Leone and other parts of Africa and Asia. We strongly believe that whatever we do to tackle <em>climate change</em> will serve as a legacy for our future generation. <em>Climate change</em> and global poverty have attracted a lot of attention in recent years as key global justice challenges', 'other. An effective attack on poverty and the ill-effects of <em>climate change</em> requires taking comprehensive action that encompasses both issues. We cannot fight <em>climate change</em> without considering the rising energy needs of poor people and countries, nor can we effectively address global poverty without accounting for the impacts of <em>climate change</em> on agriculture, disease patterns, and violent weather events']",Parkville,MD,0.0,0.0,"The Organization seeks to promote human rights education and enhance the capabilities of women, children and youth across the world to effect positive social change that would bring about sustainable development in their lives and communities.",https://facebook.com/AIDatWork,https://twitter.com/AIDinAction,,https://instagram.com/AIDatWork/,https://linkedin.com/company/company/advocacy-initiative-for-development-aid-/,aidinaction
Greater Cleveland Partnership,,34-0149250,"['Apprenticeships, <em>Climate</em> Workforce, Downtown, Waterfront, , Education, Equal opportunity in education, Environment, <em>Climate change,</em> Philanthropy, Philanthropy and public policy, Public affairs, Public/private ventures, Community and economic development, Sustainable development, Business and industry, Business promotion, Entrepreneurship, Human rights, Social rights, Economic justice, Diversity and']",Cleveland,OH,34771131.0,15833410.0,"Accelerating equitable access to prosperity by promoting Greater Cleveland as a place to live, work, and conduct business. Together we are ""All In"" - collaborating with workforce, university, and civic leaders throughout the Great Lakes region.",,,https://youtube.com/@GreaterCLE,https://instagram.com/greater_cle,https://linkedin.com/company/greater-cleveland-partnership/,
9to5 National Association of Working Women,,34-1246311,"[""Advocacy, women and girls, Job Rights, speakers, outreach to women, leadership development, civic engagement, paid sick days, equal pay, pay equity, unions, workers' rights, paid family leave, childcare, <em>climate</em> justice, housing justice, tenants' rights, utilities justice, clean water, Environment, Environmental justice, Public safety, Legal services, Housing law, Public affairs, Public utilities, Community"", 'leadership development, coalition-building, and policy <em>change</em> campaigns. Our programs include the Community Justice Fellowship Program, a paid, 10-week organizer training program for community leaders that combines political education with field experience in a 9to5 campaign.Policy <em>change</em> and civic engagement work:1) Workplace justice policy <em>change</em> and organizing campaigns on paid family/medical/sick ']",Milwaukee,WI,9370444.0,7703864.0,"Our mission is to build a movement to achieve economic justice, by engaging directly affected women to improve working conditions.
9to5 has a national agenda plus chapters in three states—Georgia, Wisconsin and Colorado—focused on state and local advocacy on issues that impact the lives and build the leadership of working women of color, nonbinary folks and their families.",https://facebook.com/9to5org,https://twitter.com/9to5org,https://youtube.com/@9to5_org,https://instagram.com/9to5org,https://linkedin.com/company/9to5,
Sustainable Development Center,Urban Green,34-2029478,"[' ECOaudit, ECO office, youth, education, sustainability, audits, lecturers, <em>climate change,</em> community service, Environment, Natural resources, Community and economic development, Sustainable development, Education, Elementary and secondary education, Environmental education, Economic ']",Seattle,WA,0.0,0.0,"To develop educational tools, programs and community outreach opportunities that allow young people, educators, and public agency professionals to research, apply and communicate sustainability practices.",,,,,,
"Heifer Project International, Inc.",Heifer International,35-1019477,"['income of $182 per farmer per month by improving business practices and management of agroecological farms. The project promotes and supports strengthened agroecological practices in response to <em>climate change,</em> protecting biodiversity, soil, water of fragile ecosystems and a World Heritage Site.Producer associations gain permanent access to agroecological markets, leading to an increase in socially and', 'We work to end hunger and poverty in partnership with local communities. Our programs support entrepreneurs around the world, creating lasting <em>change</em> from the ground up.It begins with a seed investment of livestock or agriculture, followed by mentorship to help project participants build a business, and ultimately to gain access to supply chains and markets.These families are able to earn a living ']",Little Rock,AR,287748580.0,151302176.0,"We work to end hunger and poverty in partnership with local communities. Our programs support entrepreneurs around the world, creating lasting change from the ground up.
It begins with a seed investment of livestock or agriculture, followed by mentorship to help project participants build a business, and ultimately to gain access to supply chains and markets.
These families are able to earn a living income and continuously lift up their communities as they train the next generation of leaders.
By supporting and training the world's farmers, ranchers, and female business owners, we're investing in a new breed of success.",https://facebook.com/heiferinternational,https://twitter.com/Heifer,https://youtube.com/user/HeiferInternational,https://instagram.com/heiferinternational,https://linkedin.com/company/heifer-international,heifer
